location,vaccine,total_vaccinations
Argentina,CanSino,53950431
Argentina,Moderna,893386753
Argentina,Oxford/AstraZeneca,5618580845
Argentina,Pfizer/BioNTech,1307660776
Argentina,Sinopharm/Beijing,5713239160
Argentina,Sputnik V,5092133323
Austria,Johnson&Johnson,12638945
Austria,Moderna,54368867
Austria,Novavax,11819
Austria,Oxford/AstraZeneca,73727783
Austria,Pfizer/BioNTech,455767345
Belgium,Johnson&Johnson,16211133
Belgium,Moderna,93544743
Belgium,Novavax,107
Belgium,Oxford/AstraZeneca,125666286
Belgium,Pfizer/BioNTech,598973594
Bulgaria,Johnson&Johnson,11980645
Bulgaria,Moderna,15604779
Bulgaria,Oxford/AstraZeneca,23520124
Bulgaria,Pfizer/BioNTech,83132765
Chile,CanSino,153505458
Chile,Oxford/AstraZeneca,151301657
Chile,Pfizer/BioNTech,2205675502
Chile,Sinovac,7421275115
Croatia,Johnson&Johnson,5382836
Croatia,Moderna,17832131
Croatia,Novavax,479
Croatia,Oxford/AstraZeneca,26392368
Croatia,Pfizer/BioNTech,130860566
Cyprus,Johnson&Johnson,916815
Cyprus,Moderna,4782633
Cyprus,Novavax,59
Cyprus,Oxford/AstraZeneca,11399329
Cyprus,Pfizer/BioNTech,37964572
Czechia,Johnson&Johnson,82930909
Czechia,Moderna,355239180
Czechia,Novavax,41996
Czechia,Oxford/AstraZeneca,225224888
Czechia,Pfizer/BioNTech,3441540352
Denmark,Johnson&Johnson,1947563
Denmark,Moderna,52522573
Denmark,Oxford/AstraZeneca,8301687
Denmark,Pfizer/BioNTech,347598773
Ecuador,CanSino,63941786
Ecuador,Oxford/AstraZeneca,574052784
Ecuador,Pfizer/BioNTech,1399258319
Ecuador,Sinovac,2561851981
Estonia,Johnson&Johnson,2382223
Estonia,Moderna,7100996
Estonia,Novavax,207
Estonia,Oxford/AstraZeneca,11511797
Estonia,Pfizer/BioNTech,49429538
European Union,Covaxin,3506
European Union,Johnson&Johnson,4519774120
European Union,Moderna,24391892210
European Union,Novavax,2066859
European Union,Oxford/AstraZeneca,21700612979
European Union,Pfizer/BioNTech,141033652111
European Union,Sinopharm/Beijing,743871062
European Union,Sinovac,517529
European Union,Sputnik V,627748875
Finland,Johnson&Johnson,0
Finland,Moderna,48018056
Finland,Oxford/AstraZeneca,26767011
Finland,Pfizer/BioNTech,299124833
France,Johnson&Johnson,297842557
France,Moderna,4074001408
France,Oxford/AstraZeneca,2579871808
France,Pfizer/BioNTech,25225323599
Germany,Johnson&Johnson,920528925
Germany,Moderna,4719169604
Germany,Novavax,1348545
Germany,Oxford/AstraZeneca,4188138667
Germany,Pfizer/BioNTech,29153644591
Hong Kong,Pfizer/BioNTech,1643527440
Hong Kong,Sinovac,1041141850
Hungary,Johnson&Johnson,9331140
Hungary,Moderna,37861280
Hungary,Oxford/AstraZeneca,58475246
Hungary,Pfizer/BioNTech,313978457
Hungary,Sinopharm/Beijing,104585761
Hungary,Sputnik V,67080457
Iceland,Johnson&Johnson,4913
Iceland,Moderna,354840
Iceland,Oxford/AstraZeneca,72
Iceland,Pfizer/BioNTech,4200838
Ireland,Johnson&Johnson,8756933
Ireland,Moderna,32164392
Ireland,Oxford/AstraZeneca,44312266
Ireland,Pfizer/BioNTech,261046056
Italy,Johnson&Johnson,422077107
Italy,Moderna,4925953675
Italy,Novavax,507902
Italy,Oxford/AstraZeneca,2425776682
Italy,Pfizer/BioNTech,20532273075
Japan,Moderna,141520769
Japan,Pfizer/BioNTech,3768902151
Latvia,Johnson&Johnson,57263855
Latvia,Moderna,124443464
Latvia,Novavax,2189
Latvia,Oxford/AstraZeneca,61608482
Latvia,Pfizer/BioNTech,352811481
Latvia,Sinopharm/Beijing,356
Latvia,Sinovac,38
Liechtenstein,Johnson&Johnson,4646
Liechtenstein,Moderna,1543114
Liechtenstein,Pfizer/BioNTech,751299
Lithuania,Johnson&Johnson,8440297
Lithuania,Moderna,12241467
Lithuania,Oxford/AstraZeneca,24028431
Lithuania,Pfizer/BioNTech,109774321
Luxembourg,Johnson&Johnson,1596563
Luxembourg,Moderna,5942258
Luxembourg,Novavax,532
Luxembourg,Oxford/AstraZeneca,4841859
Luxembourg,Pfizer/BioNTech,25160627
Malta,Johnson&Johnson,1202381
Malta,Moderna,4502141
Malta,Oxford/AstraZeneca,10638619
Malta,Pfizer/BioNTech,26244064
Nepal,Johnson&Johnson,111881271
Nepal,Moderna,181257522
Nepal,Oxford/AstraZeneca,353090586
Nepal,Pfizer/BioNTech,19844895
Nepal,Sinopharm/Beijing,677156432
Netherlands,Johnson&Johnson,34045991
Netherlands,Moderna,134704274
Netherlands,Novavax,323
Netherlands,Oxford/AstraZeneca,129702484
Netherlands,Pfizer/BioNTech,818084203
Norway,Johnson&Johnson,261475
Norway,Moderna,62228318
Norway,Oxford/AstraZeneca,8044875
Norway,Pfizer/BioNTech,286057667
Peru,Oxford/AstraZeneca,724118957
Peru,Pfizer/BioNTech,6157882794
Peru,Sinopharm/Beijing,3638123263
Poland,Johnson&Johnson,88373190
Poland,Moderna,148039463
Poland,Novavax,11067
Poland,Oxford/AstraZeneca,245217819
Poland,Pfizer/BioNTech,1342428965
Portugal,Covaxin,66
Portugal,Johnson&Johnson,39062254
Portugal,Moderna,91174355
Portugal,Novavax,0
Portugal,Oxford/AstraZeneca,95935231
Portugal,Pfizer/BioNTech,475609939
Portugal,Sinopharm/Beijing,30483
Portugal,Sinovac,65022
Romania,Johnson&Johnson,373761837
Romania,Moderna,284688556
Romania,Oxford/AstraZeneca,203089972
Romania,Pfizer/BioNTech,3290244599
Slovakia,Johnson&Johnson,4577868
Slovakia,Moderna,24064593
Slovakia,Novavax,660
Slovakia,Oxford/AstraZeneca,23196068
Slovakia,Pfizer/BioNTech,171778830
Slovakia,Sputnik V,380544
Slovenia,Johnson&Johnson,4084514
Slovenia,Moderna,9077059
Slovenia,Novavax,51
Slovenia,Oxford/AstraZeneca,13545944
Slovenia,Pfizer/BioNTech,72565218
South Africa,Johnson&Johnson,200556707
South Africa,Pfizer/BioNTech,620315364
South Korea,Johnson&Johnson,410805917
South Korea,Moderna,3442773205
South Korea,Novavax,4275195
South Korea,Oxford/AstraZeneca,5415624217
South Korea,Pfizer/BioNTech,12513036835
Spain,Johnson&Johnson,78244155
Spain,Moderna,508417103
Spain,Oxford/AstraZeneca,431619184
Spain,Pfizer/BioNTech,2244536959
Sweden,Moderna,85866689
Sweden,Novavax,123
Sweden,Oxford/AstraZeneca,61197360
Sweden,Pfizer/BioNTech,482093272
Switzerland,Johnson&Johnson,7809174
Switzerland,Moderna,2327225656
Switzerland,Pfizer/BioNTech,1356913532
Ukraine,Johnson&Johnson,3987506
Ukraine,Moderna,463753358
Ukraine,Oxford/AstraZeneca,745131802
Ukraine,Pfizer/BioNTech,1810085190
Ukraine,Sinovac,1334709122
United States,Johnson&Johnson,4872709516
United States,Moderna,55294886137
United States,Pfizer/BioNTech,79776473000
Uruguay,Oxford/AstraZeneca,27243328
Uruguay,Pfizer/BioNTech,589726730
Uruguay,Sinovac,1047602618
